Time (s),Voltage,Current
8820,23.621288,-31.213389000000056
8880,23.588338383838384,-31.213400000000057
8940,23.557032323232328,-31.213400000000057
9000,23.52559800000001,-31.213301000000055
9060,23.49169898989899,-31.21327777777784
9120,23.45852727272727,-31.213377777777833
9180,23.427270999999998,-31.21331200000006
9240,23.39611400000001,-31.213213000000064
9300,23.36500202020203,-31.21328888888895
9360,23.333877777777783,-31.213088888888954
9420,23.302993939393936,-31.213355555555612
9480,23.270751999999998,-31.213378000000056
9540,23.238909090909097,-31.21331111111117
9600,23.20939,-31.213169000000057
9660,23.180254000000005,-31.213059000000033
9720,23.146758999999996,-31.213268000000053
9780,23.115150505050504,-31.213188888888922
9840,23.086272999999995,-31.213466000000054
9900,23.057178999999998,-31.213455000000053
9960,23.024927272727272,-31.21338888888894
10020,22.99374499999999,-31.213620000000045
10080,22.9633393939394,-31.21343333333339
10140,22.934527000000006,-31.21322400000005
10200,22.905545454545443,-31.21321111111114
10260,22.873272999999994,-31.213488000000062
10320,22.842558585858587,-31.213211111111153
10380,22.813384000000006,-31.21318000000005
10440,22.783880808080806,-31.213411111111167
10500,22.753441,-31.213334000000053
10560,22.72336464646464,-31.21347777777783
10620,22.69510101010101,-31.213122222222253
10680,22.663865,-31.21336700000005
10740,22.631789898989894,-31.213388888888947
10800,22.602948999999995,-31.21330100000005
10860,22.572716000000003,-31.21320200000006
10920,22.541745454545463,-31.213311111111167
10980,22.511016161616162,-31.213411111111167
11040,22.480484999999998,-31.213345000000057
11100,22.4506191919192,-31.213077777777826
11160,22.418972999999998,-31.213246000000044
11220,22.388002020202023,-31.213400000000057
11280,22.355677,-31.213444000000052
11340,22.32503939393939,-31.213477777777836
11400,22.295327,-31.213411000000054
11460,22.262819191919196,-31.213433333333388
11520,22.228445,-31.213477000000058
11580,22.197067999999998,-31.21336700000005
11640,22.164947474747475,-31.213377777777833
11700,22.131378999999992,-31.213400000000057
11760,22.09738585858586,-31.213388888888947
11820,22.063676767676768,-31.213422222222277
11880,22.029225,-31.213411000000054
11940,21.99324499999999,-31.21333400000006
12000,21.95757878787879,-31.213311111111153
12060,21.922148999999994,-31.213279000000043
12120,21.884518999999997,-31.213499000000056
12180,21.845486,-31.213400000000057
12240,21.806010101010102,-31.21318888888894
12300,21.765164,-31.213301000000055
12360,21.722904,-31.213400000000057
12420,21.679951515151515,-31.213422222222277
12480,21.6347696969697,-31.21340000000005
12540,21.58858,-31.213279000000057
12600,21.5392696969697,-31.213033333333367
12660,21.486964000000004,-31.213400000000057
12720,21.431950505050512,-31.21330000000005
12780,21.375109999999996,-31.21333400000005
12840,21.31480101010101,-31.21325555555561
12900,21.249141414141413,-31.213222222222267
12960,21.171988000000006,-31.213037000000057
13020,21.082853000000004,-31.21279500000005
13080,20.97332727272727,-31.213055555555602
13140,20.803472000000003,-31.213158000000053
13200,20.477549,-31.213180000000044
13260,20.031370999999993,-31.21294900000003
13320,19.4947797979798,-31.21308888888893
13380,19.231005999999994,-23.723456000000056
13440,25.095626262626265,31.199969696969656
13500,25.287509999999997,31.19999999999996
13560,25.35372,31.19999999999996
13620,25.39284000000001,31.19999999999996
13680,25.417720000000017,31.19988999999998
13740,25.43924242424241,31.199888888888864
13800,25.457500000000017,31.199530000000028
13860,25.476550000000024,31.19962999999997
13920,25.498810000000013,31.199399999999997
13980,25.522030303030302,31.199303030303025
14040,25.543599999999998,31.19929000000001
14100,25.564424242424234,31.19936363636367
14160,25.586909999999992,31.19901000000004
14220,25.611010000000018,31.19900000000004
14280,25.632849999999998,31.19900000000004
14340,25.656585858585878,31.19900000000004
14400,25.6800808080808,31.19900000000004
14460,25.70344000000001,31.19900000000004
14520,25.727969999999985,31.19900000000004
14580,25.75174747474748,31.19900000000004
14640,25.774717171717153,31.19900000000004
14700,25.80039000000001,31.19900000000004
14760,25.824649999999988,31.19900000000004
14820,25.84696000000002,31.19900000000004
14880,25.869606060606063,31.19900000000004
14940,25.894909999999996,31.19900000000004
15000,25.91884999999999,31.19900000000004
15060,25.94223232323233,31.19900000000004
15120,25.965270000000015,31.19900000000004
15180,25.99123232323232,31.19901010101014
15240,26.01497000000001,31.19900000000004
15300,26.03783999999999,31.19900000000004
15360,26.062190000000015,31.199020000000036
15420,26.08630303030304,31.19900000000004
15480,26.110310000000005,31.19900000000004
15540,26.133666666666645,31.19900000000004
15600,26.157709999999998,31.19900000000004
15660,26.181040404040388,31.19901010101014
15720,26.20388000000001,31.19900000000004
15780,26.228999999999996,31.19900000000004
15840,26.253333333333348,31.19900000000004
15900,26.27467999999999,31.19900000000004
15960,26.2997777777778,31.19900000000004
16020,26.32575999999998,31.19900000000004
16080,26.34843000000001,31.19900000000004
16140,26.371181818181817,31.19900000000004
16200,26.394399999999997,31.19900000000004
16260,26.419434343434332,31.19900000000004
16320,26.443700000000014,31.19900000000004
16380,26.46639000000001,31.19900000000004
16440,26.490484848484858,31.19900000000004
16500,26.516049999999996,31.19900000000004
16560,26.537919999999975,31.19900000000004
16620,26.562737373737352,31.19900000000004
16680,26.586719999999985,31.19900000000004
16740,26.61137373737374,31.19900000000004
16800,26.634714285714285,31.19900000000004
